Indicator,Description
Rand per Euro,Weighted average of the banks' daily rates at approximately 10:30 am. Weights are based on the banks' foreign exchange transactions.
,
Date,Value
 2024-12-31,19.4767
 2024-12-30,19.5394
 2024-12-27,19.5701
 2024-12-24,19.3109
 2024-12-23,19.1438
 2024-12-20,19.064
 2024-12-19,19.0039
 2024-12-18,18.9761
 2024-12-17,18.8364
 2024-12-13,18.647
 2024-12-12,18.5732
 2024-12-11,18.7761
 2024-12-10,18.8136
 2024-12-09,18.9098
 2024-12-06,19.0895
 2024-12-05,19.0516
 2024-12-04,19.0726
 2024-12-03,19.0133
 2024-12-02,19.0674
 2024-11-29,19.0666
 2024-11-28,19.2316
 2024-11-27,19.0506
 2024-11-26,19.021
 2024-11-25,18.9302
 2024-11-22,18.8877
 2024-11-21,19.1267
 2024-11-20,19.1419
 2024-11-19,19.0151
 2024-11-18,19.124
 2024-11-15,19.2616
 2024-11-14,19.238
 2024-11-13,19.1989
 2024-11-12,19.222
 2024-11-11,18.8783
 2024-11-08,18.7865
 2024-11-07,18.8536
 2024-11-06,18.9797
 2024-11-05,19.0135
 2024-11-04,19.0967
 2024-11-01,19.1751
 2024-10-31,19.2662
 2024-10-30,19.0225
 2024-10-29,19.1547
 2024-10-28,19.0882
 2024-10-25,19.1307
 2024-10-24,19.0844
 2024-10-23,18.9615
 2024-10-22,19.0325
 2024-10-21,19.1363
 2024-10-18,19.0735
 2024-10-17,19.2293
 2024-10-16,19.162
 2024-10-15,19.2268
 2024-10-14,19.0817
 2024-10-11,19.1087
 2024-10-10,19.2396
 2024-10-09,19.3263
 2024-10-08,19.2598
 2024-10-07,19.0917
 2024-10-04,19.2788
 2024-10-03,19.1361
 2024-10-02,19.2581
 2024-10-01,19.1994
 2024-09-30,19.1578
 2024-09-27,19.1045
 2024-09-26,19.1495
 2024-09-25,19.2823
 2024-09-23,19.3086
 2024-09-20,19.6089
 2024-09-19,19.4906
 2024-09-18,19.5389
 2024-09-17,19.6425
 2024-09-16,19.6305
 2024-09-13,19.691
 2024-09-12,19.8043
 2024-09-11,19.7277
 2024-09-10,19.7853
 2024-09-09,19.8143
 2024-09-06,19.6886
 2024-09-05,19.7104
 2024-09-04,19.8404
 2024-09-03,19.7634
 2024-09-02,19.8133
 2024-08-30,19.538
 2024-08-29,19.6448
 2024-08-28,19.8135
 2024-08-27,19.8502
 2024-08-26,19.9123
 2024-08-23,19.9708
 2024-08-22,19.972
 2024-08-21,19.8476
 2024-08-20,19.7213
 2024-08-19,19.6468
 2024-08-16,19.7175
 2024-08-15,19.8393
 2024-08-14,19.908
 2024-08-13,19.8721
 2024-08-12,19.9179
 2024-08-08,20.0893
 2024-08-07,20.0496
 2024-08-06,20.2247
 2024-08-05,20.281
 2024-08-02,19.6806
 2024-08-01,19.6877
 2024-07-31,19.7548
 2024-07-30,19.8405
 2024-07-29,19.906
 2024-07-26,19.8056
 2024-07-25,20.0725
 2024-07-24,19.9127
 2024-07-23,19.9929
 2024-07-22,19.8797
 2024-07-19,19.9611
 2024-07-18,19.8755
 2024-07-17,19.8568
 2024-07-16,19.8119
 2024-07-15,19.7013
 2024-07-12,19.5386
 2024-07-11,19.598
 2024-07-10,19.5617
 2024-07-09,19.5733
 2024-07-08,19.6726
 2024-07-05,19.7075
 2024-07-04,19.8238
 2024-07-03,19.8995
 2024-07-02,19.7672
 2024-07-01,19.6645
 2024-06-28,19.4761
 2024-06-27,19.5703
 2024-06-26,19.5455
 2024-06-25,19.4677
 2024-06-24,19.3709
 2024-06-21,19.1821
 2024-06-20,19.4002
 2024-06-19,19.2946
 2024-06-18,19.4966
 2024-06-14,19.6684
 2024-06-13,19.9089
 2024-06-12,19.9487
 2024-06-11,20.092
 2024-06-10,20.2049
 2024-06-07,20.5134
 2024-06-06,20.5616
 2024-06-05,20.45
 2024-06-04,20.3737
 2024-06-03,20.2628
 2024-05-31,20.4205
 2024-05-30,20.224
 2024-05-28,19.9786
 2024-05-27,19.9969
 2024-05-24,19.929
 2024-05-23,19.9134
 2024-05-22,19.7294
 2024-05-21,19.7644
 2024-05-20,19.7166
 2024-05-17,19.7553
 2024-05-16,19.8193
 2024-05-15,19.8698
 2024-05-14,19.8818
 2024-05-13,19.8297
 2024-05-10,19.842
 2024-05-09,19.893
 2024-05-08,19.98
 2024-05-07,19.8817
 2024-05-06,19.8931
 2024-05-03,19.9358
 2024-05-02,19.8826
 2024-04-30,20.0165
 2024-04-29,20.1485
 2024-04-26,20.41
 2024-04-25,20.4684
 2024-04-24,20.4411
 2024-04-23,20.5
 2024-04-22,20.3389
 2024-04-19,20.4939
 2024-04-18,20.3204
 2024-04-17,20.1798
 2024-04-16,20.2819
 2024-04-15,20.1185
 2024-04-12,19.9573
 2024-04-11,20.2049
 2024-04-10,20.1662
 2024-04-09,20.1099
 2024-04-08,20.1603
 2024-04-05,20.2273
 2024-04-04,20.2145
 2024-04-03,20.3049
 2024-04-02,20.2136
 2024-03-28,20.4987
 2024-03-27,20.5066
 2024-03-26,20.5034
 2024-03-25,20.5562
 2024-03-22,20.5366
 2024-03-20,20.5764
 2024-03-19,20.6288
 2024-03-18,20.4542
 2024-03-15,20.346
 2024-03-14,20.3763
 2024-03-13,20.4338
 2024-03-12,20.3531
 2024-03-11,20.4607
 2024-03-08,20.4027
 2024-03-07,20.4578
 2024-03-06,20.5289
 2024-03-05,20.68
 2024-03-04,20.6241
 2024-03-01,20.7969
 2024-02-29,20.8382
 2024-02-28,20.7617
 2024-02-27,20.8947
 2024-02-26,20.9366
 2024-02-23,20.8349
 2024-02-22,20.4905
 2024-02-21,20.4157
 2024-02-20,20.5383
 2024-02-19,20.3747
 2024-02-16,20.3262
 2024-02-15,20.3917
 2024-02-14,20.5167
 2024-02-13,20.2869
 2024-02-12,20.465
 2024-02-09,20.4999
 2024-02-08,20.4335
 2024-02-07,20.2896
 2024-02-06,20.3818
 2024-02-05,20.416
 2024-02-02,20.2682
 2024-02-01,20.1772
 2024-01-31,20.2412
 2024-01-30,20.4125
 2024-01-29,20.3429
 2024-01-26,20.4837
 2024-01-25,20.5781
 2024-01-24,20.4983
 2024-01-23,20.8267
 2024-01-22,20.8655
 2024-01-19,20.6483
 2024-01-18,20.6756
 2024-01-17,20.6822
 2024-01-16,20.5724
 2024-01-15,20.4618
 2024-01-12,20.3973
 2024-01-11,20.4525
 2024-01-10,20.4007
 2024-01-09,20.4066
 2024-01-08,20.5544
 2024-01-05,20.5081
 2024-01-04,20.4117
 2024-01-03,20.3529
 2024-01-02,20.24
 2023-12-29,20.5839
 2023-12-28,20.4827
 2023-12-27,20.4385
 2023-12-22,20.2749
 2023-12-21,19.959
 2023-12-20,20.0445
 2023-12-19,20.2827
 2023-12-18,20.0066
 2023-12-14,20.2864
 2023-12-13,20.5573
 2023-12-12,20.5167
 2023-12-11,20.5181
 2023-12-08,20.3029
 2023-12-07,20.426
 2023-12-06,20.4037
 2023-12-05,20.3632
 2023-12-04,20.3277
 2023-12-01,20.5019
 2023-11-30,20.5059
 2023-11-29,20.3634
 2023-11-28,20.4558
 2023-11-27,20.6064
 2023-11-24,20.6152
 2023-11-23,20.51
 2023-11-22,20.4593
 2023-11-21,20.0607
 2023-11-20,20.0884
 2023-11-17,19.932
 2023-11-16,19.7189
 2023-11-15,19.7672
 2023-11-14,20.0695
 2023-11-13,19.9783
 2023-11-10,19.916
 2023-11-09,19.9031
 2023-11-08,19.6618
 2023-11-07,19.6348
 2023-11-06,19.5497
 2023-11-03,19.5977
 2023-11-02,19.5397
 2023-11-01,19.7768
 2023-10-31,19.9936
 2023-10-30,19.8862
 2023-10-27,19.9402
 2023-10-26,20.2273
 2023-10-25,20.225
 2023-10-24,20.2261
 2023-10-23,20.2265
 2023-10-20,20.2224
 2023-10-19,20.1364
 2023-10-18,19.8351
 2023-10-17,19.8136
 2023-10-16,19.9079
 2023-10-13,20.0225
 2023-10-12,20.0019
 2023-10-11,20.0646
 2023-10-10,20.2952
 2023-10-09,20.4215
 2023-10-06,20.4825
 2023-10-05,20.4573
 2023-10-04,20.2594
 2023-10-03,20.1569
 2023-10-02,20.0285
 2023-09-29,19.9242
 2023-09-28,20.2056
 2023-09-27,20.1315
 2023-09-26,19.9258
 2023-09-22,20.0551
 2023-09-21,20.0629
 2023-09-20,20.256
 2023-09-19,20.2688
 2023-09-18,20.2674
 2023-09-15,20.3148
 2023-09-14,20.273
 2023-09-13,20.315
 2023-09-12,20.258
 2023-09-11,20.2663
 2023-09-08,20.4762
 2023-09-07,20.6281
 2023-09-06,20.6689
 2023-09-05,20.6568
 2023-09-04,20.3222
 2023-09-01,20.3541
 2023-08-31,20.3446
 2023-08-30,20.2211
 2023-08-29,19.9781
 2023-08-28,20.1953
 2023-08-25,20.1153
 2023-08-24,20.2037
 2023-08-23,20.2505
 2023-08-22,20.5573
 2023-08-21,20.754
 2023-08-18,20.7395
 2023-08-17,20.8394
 2023-08-16,20.8072
 2023-08-15,21.0228
 2023-08-14,20.7815
 2023-08-11,20.7485
 2023-08-10,20.7118
 2023-08-08,20.6298
 2023-08-07,20.4179
 2023-08-04,20.4554
 2023-08-03,20.3538
 2023-08-02,20.197
 2023-08-01,19.8382
 2023-07-31,19.5076
 2023-07-28,19.5828
 2023-07-27,19.4715
 2023-07-26,19.5372
 2023-07-25,19.5947
 2023-07-24,19.9779
 2023-07-21,19.9958
 2023-07-20,19.9118
 2023-07-19,20.0258
 2023-07-18,20.1739
 2023-07-17,20.2713
 2023-07-14,20.2342
 2023-07-13,20.1468
 2023-07-12,20.3729
 2023-07-11,20.555
 2023-07-10,20.5759
 2023-07-07,20.7514
 2023-07-06,20.4683
 2023-07-05,20.3954
 2023-07-04,20.3837
 2023-07-03,20.3846
 2023-06-30,20.519
 2023-06-29,20.3934
 2023-06-28,20.4353
 2023-06-27,20.2345
 2023-06-26,20.3268
 2023-06-23,20.2466
 2023-06-22,20.1477
 2023-06-21,20.031
 2023-06-20,19.8456
 2023-06-19,19.8649
 2023-06-15,19.8489
 2023-06-14,19.9908
 2023-06-13,20.1538
 2023-06-12,20.0985
 2023-06-09,20.2607
 2023-06-08,20.3264
 2023-06-07,20.4683
 2023-06-06,20.567
 2023-06-05,20.6837
 2023-06-02,21.0327
 2023-06-01,21.2005
 2023-05-31,21.0983
 2023-05-30,21.1618
 2023-05-29,21.1498
 2023-05-26,21.1859
 2023-05-25,20.7104
 2023-05-24,20.705
 2023-05-23,20.7914
 2023-05-22,20.8561
 2023-05-19,20.8696
 2023-05-18,21.025
 2023-05-17,20.7949
 2023-05-16,20.8179
 2023-05-15,20.6916
 2023-05-12,21.1439
 2023-05-11,20.7031
 2023-05-10,20.5603
 2023-05-09,20.2156
 2023-05-08,20.245
 2023-05-05,20.2394
 2023-05-04,20.1825
 2023-05-03,20.2792
 2023-05-02,20.2169
 2023-04-28,20.2346
 2023-04-26,20.1771
 2023-04-25,20.0998
 2023-04-24,19.9487
 2023-04-21,19.8312
 2023-04-20,19.96
 2023-04-19,20.017
 2023-04-18,20.0121
 2023-04-17,19.9187
 2023-04-14,20.0365
 2023-04-13,20.1117
 2023-04-12,20.1263
 2023-04-11,20.006
 2023-04-06,19.788
 2023-04-05,19.6318
 2023-04-04,19.4424
 2023-04-03,19.442
 2023-03-31,19.3727
 2023-03-30,19.6461
 2023-03-29,19.6574
 2023-03-28,19.7862
 2023-03-27,19.7018
 2023-03-24,19.5979
 2023-03-23,19.7523
 2023-03-22,19.9715
 2023-03-20,19.7294
 2023-03-17,19.5163
