Indicator,Description
Rand per British Pound,Weighted average of the banks' daily rates at approximately 10:30 am. Weights are based on the banks' foreign exchange transactions.
,
Date,Value
 2025-03-07,23.3678
 2025-03-06,23.6894
 2025-03-05,23.6623
 2025-03-04,23.6356
 2025-03-03,23.5331
 2025-02-28,23.3191
 2025-02-27,23.4044
 2025-02-26,23.284
 2025-02-25,23.2139
 2025-02-24,23.2726
 2025-02-21,23.204
 2025-02-20,23.3278
 2025-02-19,23.1554
 2025-02-18,23.246
 2025-02-17,23.2257
 2025-02-14,23.1498
 2025-02-13,23.0987
 2025-02-12,22.9993
 2025-02-11,22.8071
 2025-02-10,22.9465
 2025-02-07,22.9451
 2025-02-06,23.2221
 2025-02-05,23.2797
 2025-02-04,23.2779
 2025-02-03,23.3061
 2025-01-31,23.0928
 2025-01-30,23.0342
 2025-01-29,23.2595
 2025-01-28,23.3862
 2025-01-27,23.1326
 2025-01-24,22.7185
 2025-01-23,22.8252
 2025-01-22,22.8262
 2025-01-21,22.874
 2025-01-20,22.7784
 2025-01-17,22.8359
 2025-01-16,22.9924
 2025-01-15,23.0599
 2025-01-14,23.1931
 2025-01-13,23.2897
 2025-01-10,23.2885
 2025-01-09,23.2605
 2025-01-08,23.4121
 2025-01-07,23.3356
 2025-01-06,23.2916
 2025-01-03,23.2663
 2025-01-02,23.4439
 2024-12-31,23.4801
 2024-12-30,23.5645
 2024-12-27,23.538
 2024-12-24,23.2887
 2024-12-23,23.1096
 2024-12-20,22.9441
 2024-12-19,23.0718
 2024-12-18,22.9433
 2024-12-17,22.7793
 2024-12-13,22.5045
 2024-12-12,22.5525
 2024-12-11,22.7875
 2024-12-10,22.7381
 2024-12-09,22.8449
 2024-12-06,23.0274
 2024-12-05,23.0158
 2024-12-04,23.023
 2024-12-03,22.9376
 2024-12-02,23.0339
 2024-11-29,22.933
 2024-11-28,23.0861
 2024-11-27,22.8355
 2024-11-26,22.7669
 2024-11-25,22.7262
 2024-11-22,22.6719
 2024-11-21,22.9597
 2024-11-20,22.9699
 2024-11-19,22.7587
 2024-11-18,22.8826
 2024-11-15,23.0984
 2024-11-14,23.1446
 2024-11-13,23.0665
 2024-11-12,23.1607
 2024-11-11,22.7795
 2024-11-08,22.5785
 2024-11-07,22.6479
 2024-11-06,22.7414
 2024-11-05,22.6624
 2024-11-04,22.7383
 2024-11-01,22.7869
 2024-10-31,23.0397
 2024-10-30,22.8479
 2024-10-29,22.9848
 2024-10-28,22.8909
 2024-10-25,22.934
 2024-10-24,22.8847
 2024-10-23,22.8124
 2024-10-22,22.8336
 2024-10-21,22.9506
 2024-10-18,22.951
 2024-10-17,23.0105
 2024-10-16,22.8953
 2024-10-15,23.0491
 2024-10-14,22.8036
 2024-10-11,22.8269
 2024-10-10,23.0042
 2024-10-09,23.0637
 2024-10-08,22.951
 2024-10-07,22.7933
 2024-10-04,23.0113
 2024-10-03,22.7472
 2024-10-02,23.1207
 2024-10-01,23.044
 2024-09-30,22.9485
 2024-09-27,22.939
 2024-09-26,22.951
 2024-09-25,23.0583
 2024-09-23,23.0733
 2024-09-20,23.3674
 2024-09-19,23.1543
 2024-09-18,23.1793
 2024-09-17,23.3165
 2024-09-16,23.2645
 2024-09-13,23.3364
 2024-09-12,23.4494
 2024-09-11,23.3679
 2024-09-10,23.4567
 2024-09-09,23.475
 2024-09-06,23.33
 2024-09-05,23.3855
 2024-09-04,23.5489
 2024-09-03,23.4722
 2024-09-02,23.5167
 2024-08-30,23.2443
 2024-08-29,23.3609
 2024-08-28,23.5214
 2024-08-27,23.4854
 2024-08-26,23.5026
 2024-08-23,23.5618
 2024-08-22,23.4903
 2024-08-21,23.2449
 2024-08-20,23.1447
 2024-08-19,23.0783
 2024-08-16,23.1225
 2024-08-15,23.1486
 2024-08-14,23.2159
 2024-08-13,23.2861
 2024-08-12,23.286
 2024-08-08,23.3238
 2024-08-07,23.328
 2024-08-06,23.5728
 2024-08-05,23.6675
 2024-08-02,23.169
 2024-08-01,23.3361
 2024-07-31,23.4362
 2024-07-30,23.5575
 2024-07-29,23.5331
 2024-07-26,23.4889
 2024-07-25,23.8603
 2024-07-24,23.6883
 2024-07-23,23.7573
 2024-07-22,23.6012
 2024-07-19,23.7008
 2024-07-18,23.6233
 2024-07-17,23.6602
 2024-07-16,23.5731
 2024-07-15,23.4584
 2024-07-12,23.2226
 2024-07-11,23.2693
 2024-07-10,23.1404
 2024-07-09,23.1636
 2024-07-08,23.2651
 2024-07-05,23.2533
 2024-07-04,23.4131
 2024-07-03,23.4807
 2024-07-02,23.2895
 2024-07-01,23.1762
 2024-06-28,23.0141
 2024-06-27,23.1329
 2024-06-26,23.1488
 2024-06-25,23.0353
 2024-06-24,22.8868
 2024-06-21,22.7144
 2024-06-20,22.9905
 2024-06-19,22.8744
 2024-06-18,23.0588
 2024-06-14,23.3874
 2024-06-13,23.5644
 2024-06-12,23.6637
 2024-06-11,23.769
 2024-06-10,23.8813
 2024-06-07,24.0939
 2024-06-06,24.1719
 2024-06-05,24.0207
 2024-06-04,23.9352
 2024-06-03,23.7669
 2024-05-31,23.9764
 2024-05-30,23.7692
 2024-05-28,23.4572
 2024-05-27,23.4864
 2024-05-24,23.388
 2024-05-23,23.3847
 2024-05-22,23.1449
 2024-05-21,23.1259
 2024-05-20,23.0268
 2024-05-17,23.0394
 2024-05-16,23.1082
 2024-05-15,23.1203
 2024-05-14,23.0916
 2024-05-13,23.0394
 2024-05-10,23.0622
 2024-05-09,23.1315
 2024-05-08,23.1988
 2024-05-07,23.1633
 2024-05-06,23.2243
 2024-05-03,23.3104
 2024-05-02,23.2385
 2024-04-30,23.45
 2024-04-29,23.564
 2024-04-26,23.7891
 2024-04-25,23.8842
 2024-04-24,23.77
 2024-04-23,23.7513
 2024-04-22,23.6021
 2024-04-19,23.9419
 2024-04-18,23.7341
 2024-04-17,23.6502
 2024-04-16,23.7769
 2024-04-15,23.5581
 2024-04-12,23.3872
 2024-04-11,23.6219
 2024-04-10,23.5668
 2024-04-09,23.4372
 2024-04-08,23.5014
 2024-04-05,23.5612
 2024-04-04,23.5718
 2024-04-03,23.7022
 2024-04-02,23.661
 2024-03-28,23.9469
 2024-03-27,23.9102
 2024-03-26,23.9155
 2024-03-25,23.961
 2024-03-22,23.9074
 2024-03-20,24.074
 2024-03-19,24.1313
 2024-03-18,23.9233
 2024-03-15,23.8208
 2024-03-14,23.8586
 2024-03-13,23.9257
 2024-03-12,23.8142
 2024-03-11,23.9942
 2024-03-08,23.913
 2024-03-07,23.9259
 2024-03-06,24.0225
 2024-03-05,24.1624
 2024-03-04,24.106
 2024-03-01,24.2964
 2024-02-29,24.3364
 2024-02-28,24.2598
 2024-02-27,24.4153
