Year,Date,95 LRP (c/l),95 ULP (c/l),Diesel 0.05% (c/l),Diesel 0.005% (c/l),Illuminating Paraffin (c/l),Liquefied Petroleum Gas (c/kg)
2025,01-Jan-25,2080,2080,1849.55,1863.95,1227.118,3514
2025,04-Feb-25,2162,2162,1954.55,1964.95,1324.118,3542
2025,05-Mar-25,2155,2155,1937.05,1941.45,1318.118,3540
2024,03-Jan-24,2177,2177,1990.97,2000.37,1438.438,3457
2024,07-Feb-24,2252,2252,2063.97,2070.37,1491.438,3494
2024,06-Mar-24,2373,2373,2169.87,2189.27,1555.438,3535
2024,03-Apr-24,2433,2433,2166.09,2180.49,1519.74,3516
2024,01-May-24,2470,2470,2136.09,2144.49,1500.738,3470
2024,05-Jun-24,2346,2346,2017.55,2035.95,1420.738,3335
2024,03-Jul-24,2247,2247,1987.17,2011.57,1402.738,3313
2024,07-Aug-24,2232,2232,1959.17,1994.57,1380.74,3299
2024,04-Sep-24,2140,2140,1880.17,1889.57,1277.738,3289
2024,02-Oct-24,2026,2026,1766.37,1777.77,1166.938,3312
2024,06-Nov-24,2051,2051,1787.37,1797.77,1187.938,3348
2024,04-Dec-24,2068,2068,1842.25,1853.65,1236.818,3500
2023,04-Jan-23,2075,2075,2057.67,2076.07,1446.758,3227
2023,01-Feb-23,2103,2103,2066.83,2075.23,1504.758,3087
2023,01-Mar-23,2230,2230,2097.21,2106.61,1517.758,3610
2023,05-Apr-23,2225,2225,2016.63,2025.03,1379.558,3517
2023,03-May-23,2262,2262,1943.09,1977.49,1346.558,3073
2023,07-Jun-23,2191,2191,1859.09,1897.49,1303.558,3148
2023,05-Jul-23,2174,2174,1877.09,1909.49,1299.558,2853
2023,02-Aug-23,2211,2211,1949.09,1980.49,1370.56,2691
2023,06-Sep-23,2382,2382,2233.09,2256.49,1648.558,2917
2023,04-Oct-23,2496,2496,2429.79,2450.19,1799.558,3167
2023,01-Nov-23,2318,2318,2344.71,2368.11,1702.558,3316
2023,06-Dec-23,2253,2253,2109.29,2126.69,1531.438,3446
2022,05-Jan-22,1889,1889,1663.18,1666.58,1014.79,3259
2022,02-Feb-22,1942,1942,1743.02,1745.42,1115.79,3134
2022,02-Mar-22,2088,2088,1887.38,1893.78,1236.79,3204
2022,06-Apr-22,2124,2124,2039.94,2062.34,1502.79,3454
2022,04-May-22,2109,2109,2134.24,2150.64,1585.89,3523
2022,01-Jun-22,2352,2352,2244.24,2257.64,1741.89,3472
2022,06-Jul-22,2609,2609,2475.24,2487.64,1907.088,3255
2022,03-Aug-22,2477,2477,2387.24,2396.64,1763.088,3311
2022,07-Sep-22,2273,2273,2330.9,2350.3,1681.088,3146
2022,05-Oct-22,2171,2171,2340.9,2365.3,1620.088,3166
2022,02-Nov-22,2222,2222,2483.76,2509.16,1697.088,3068
2022,07-Dec-22,2281,2281,2326.57,2356.97,1639.758,3146
2021,06-Jan-21,1416,1416,1240.12,1241.52,658.59,2472
2021,03-Feb-21,1497,1497,1298.12,1300.52,717.59,2666
2021,03-Mar-21,1562,1562,1352.12,1356.52,764.59,2752
2021,07-Apr-21,1660,1660,1416.12,1418.52,798.59,2801
2021,05-May-21,1651,1651,1385.12,1388.52,775.59,2628
2021,02-Jun-21,1641,1641,1405.12,1409.52,795.59,2486
2021,07-Jul-21,1667,1667,1447.12,1450.52,831.59,2549
2021,04-Aug-21,1758,1758,1502.7,1505.1,881.59,2775
2021,01-Sep-21,1762,1762,1487.48,1490.88,866.59,2869
2021,06-Oct-21,1761,1761,1510.28,1513.68,898.59,2861
2021,01-Nov-21,1882,1882,1658.48,1661.88,1043.59,3151
2021,06-Dec-21,1957,1957,1730.98,1736.38,1085.79,3335
