Date,CPI Headline,USD,GBP,Elec_Dist_SA_Adj,Close_Corps,Elec_Dist_SA,Companies,Elec_Prod
2024-11-01,99.9,17.6574,22.7869,17798.0,50,17419.0,78,19764.0
2024-10-01,99.9,17.2789,23.044,17809.0,89,18094.0,107,20385.0
2024-08-01,99.9,18.2555,23.3361,17973.0,66,18800.0,62,20898.0
2024-07-01,99.8,18.3232,23.1762,18188.0,57,19552.0,76,21581.0
2024-03-01,98.9,19.2279,24.2964,17488.0,72,17506.0,66,19160.0
2024-02-01,98.1,18.7164,23.6743,17569.0,63,16138.0,75,17419.0
2023-12-01,97.1,18.8143,23.8076,17661.0,50,16934.0,87,18318.0
2023-11-01,97.1,18.7316,22.7504,17268.0,53,16897.0,91,18485.0
2023-09-01,96.3,18.7612,23.7817,16915.0,72,16663.0,84,18323.0
2023-08-01,95.7,18.08,23.1704,17248.0,76,17998.0,66,19605.0
2023-06-01,94.6,19.8618,24.6792,17330.0,58,18247.0,70,19743.0
2023-03-01,93.9,18.1575,21.9397,17598.0,89,17600.0,79,19122.0
2023-02-01,92.9,17.3973,21.4335,16747.0,71,15370.0,91,16722.0
2022-12-01,92.3,17.384,21.052,16845.0,58,16183.0,101,17538.0
2022-09-01,91.4,17.1363,19.8807,17118.0,67,16871.0,103,18510.0
2022-08-01,91.3,16.487,20.138,18459.0,61,19231.0,96,20959.0
2022-07-01,91.1,16.3482,19.8124,17545.0,70,18826.0,95,20561.0
2022-06-01,89.8,15.5338,19.5617,17920.0,66,18851.0,79,20498.0
2022-04-01,88.2,14.581,19.1354,18233.0,77,17719.0,61,19348.0
2022-03-01,87.7,15.2996,20.5351,18445.0,70,18416.0,112,20248.0
2022-02-01,86.8,15.2809,20.5888,18406.0,64,16821.0,96,18500.0
2021-12-01,86.1,15.8403,21.0732,18205.0,47,17504.0,75,19119.0
2021-10-01,85.3,15.0323,20.2349,17922.0,74,18214.0,98,20264.0
2021-09-01,85.0,14.4419,19.8713,18510.0,69,18240.0,83,20147.0
2021-07-01,84.5,14.2968,19.7275,18719.0,71,20089.0,94,22265.0
2021-06-01,83.5,13.7467,19.497,18132.0,64,19058.0,68,21356.0
2021-04-01,83.3,14.7241,20.3053,18632.0,77,18083.0,81,20103.0
2021-03-01,82.8,15.0894,21.0377,18576.0,105,18527.0,111,20471.0
2021-02-01,82.2,15.0809,20.7061,18431.0,85,16830.0,93,18571.0
2020-12-01,81.3,15.3842,20.6149,18705.0,56,17985.0,97,19845.0
2020-10-01,81.2,16.5929,21.3493,18570.0,96,18891.0,119,20985.0
2020-09-01,81.0,16.7129,22.4446,18495.0,93,18225.0,118,20152.0
2020-07-01,80.7,17.2591,21.415,18234.0,78,19541.0,115,21550.0
2020-06-01,79.7,17.4901,21.6913,17864.0,54,18672.0,80,20690.0
2020-04-01,79.8,18.0283,22.2812,14804.0,0,14384.0,0,16019.0
2019-11-01,78.7,15.0719,19.5384,18835.0,100,18543.0,119,20666.0
2019-10-01,78.6,15.2187,18.6969,19035.0,80,19375.0,98,21579.0
2019-08-01,78.5,14.4699,17.5332,18493.0,98,19114.0,78,21509.0
2019-07-01,78.2,14.1074,17.8388,18867.0,75,20234.0,108,22562.0
2019-04-01,77.4,14.2747,18.677,19324.0,84,18715.0,89,20737.0
2019-03-01,77.0,14.1054,18.6791,18955.0,82,18935.0,96,20948.0
2019-02-01,76.3,13.2966,17.4185,19144.0,68,17496.0,78,19220.0
2018-11-01,76.0,14.6199,18.864,19372.0,69,19131.0,71,21249.0
2018-10-01,75.9,14.109,18.4088,19457.0,94,19793.0,102,21993.0
2018-08-01,75.2,13.2809,17.4225,19448.0,87,20061.0,68,22021.0
2018-06-01,74.6,12.6638,16.8276,19217.0,80,19933.0,74,21946.0
