Municipality,artificial dams (including canals),artificial flooded mine pits,artificial sewage ponds,bare riverbed material,coastal sand & dunes,commercial,commercial annual crops non-pivot irrigated,commercial annual crops pivot irrigated,commercial annual crops rain-fed / dryland,contiguous & dense plantation forest,contiguous (indigenous) forest,contiguous low forest & thicket,cultivated commercial permanent orchards,cultivated commercial permanent pineapples,cultivated commercial permanent vines,cultivated commercial sugarcane non-pivot,cultivated commercial sugarcane pivot irrigated,cultivated emerging farmer sugarcane non-pivot,dense forest & woodland,dry pans,eroded lands,fallow land & old fields (bare),fallow land & old fields (bush),fallow land & old fields (grass),fallow land & old fields (low shrub),fallow land & old fields (trees),fallow land & old fields (wetlands),herbaceous wetlands (currently mapped),herbaceous wetlands (previously mapped),industrial,land-fills,low shrubland (fynbos),low shrubland (nama karoo),low shrubland (other),low shrubland (succulent karoo),mangrove wetlands,mine: tailings and resource dumps,"mines: extraction pits, quarries",mines: salt mines,mines: surface infrastructure,natural estuaries & lagoons,natural grassland,natural lakes,natural ocean & coastal,natural pans (flooded @ observation times),natural rivers,natural rock surfaces,open & sparse plantation forest,open woodland,other bare,residential formal (bare),residential formal (bush),residential formal (low veg / grass),residential formal (tree),residential informal (bare),residential informal (bush),residential informal (low veg / grass),residential informal (tree),roads & rails (major linear),sand dunes (terrestrial),smallholdings (bare),smallholdings (bush),smallholdings (low veg / grass),smallholdings (tree),sparsely wooded grassland,subsistence / small-scale annual crops,temporary unplanted (clear-felled) plantation forest,urban recreational fields (bare),urban recreational fields (bush),urban recreational fields (grass),urban recreational fields (tree),village dense (bare & low veg / grass combo),village scattered (bare & low veg/ grass combo)
abaqulusi,0.256520681147584,0.002449286815476761,0.0,0.0539784708130802,0.0,0.05145574707331482,0.05714519548658986,0.8939323712247049,3.8878565211143434,8.682646858460313,1.2386900380415395,4.290820287835583,0.06533201809192846,0.0,0.0,0.05964400767198722,0.0,0.0,8.162636922579173,0.0008176645571446124,0.9465488274974623,0.012254890432990148,0.08906576970345904,6.386823741976032,0.0,1.2255604363508086,0.23039410099775312,0.18132809501515573,0.7720023433277927,0.01226059252719851,0.0,0.0,0.0,0.0008146519489266333,0.0,0.0,0.007348693571304709,0.05552387023555382,0.0,0.0008160563277975637,0.0,16.89112300906246,0.0,0.0,0.012259838022734306,0.041699183112812566,0.08487491453583414,0.10939978069787,0.5463733793744335,0.06618135709182676,0.6944860849073837,0.012251444225785522,1.8631477646004855,0.3144235569458192,0.0008162177003725505,0.0,0.009800280933449382,0.0024481022570387112,0.07192576437536814,0.0,0.001633270840871099,0.0,0.038384672677997896,0.00653346124282495,0.0,3.172961533686574,2.104762482345264,0.0,0.0,0.017963231270989293,0.0024496634691663173,0.3103245071788843,0.483633822490845
alfred duma,0.3478149514498322,0.01209766591110992,0.0018631465292649244,0.05215844244849885,0.0,0.09408861442092094,0.05665492192380898,0.679818994676837,2.67910067192366,0.24903444187378174,0.07983827585986711,1.6830899622500761,0.019528415333475293,0.0,0.0,0.015795541383139412,0.0,0.0,7.00435258531544,0.0027870694119197163,1.121394307436025,0.025142251633074323,0.11368651266406751,5.439877878786011,0.0,0.6416211613721309,0.4287632404333341,0.2389518217768811,1.273290830560599,0.11645694013323732,0.0,0.0,0.0,0.0,0.0,0.0,0.003719360414435166,0.0511804213824492,0.0,0.0,0.0,9.257108945620946,0.0,0.0,0.008365422871745142,0.11178222142323109,0.06329003801768537,0.0018598198428771567,1.507694024188695,0.2551314995627817,1.0520104163410016,0.3206885249549971,4.793303687768979,0.5713859724622897,0.00558932824312196,0.0,0.03166731827553194,0.006524147124165182,0.05214491487900585,0.0,0.0,0.0009314539982082134,0.019554365652896824,0.005587725075073549,0.0,4.931185363374974,0.0,0.0,0.0,0.02236063369143443,0.0009313109869983873,0.3770468503525348,0.8592128854810291
amahlathi,0.43915758175143166,0.00074857435096414,0.0,0.011190689119862804,0.0,0.0029872878969213756,0.011185790397716272,0.17776685693192223,3.6991428945092952,4.022959628143074,1.756561027337294,12.977227183318503,0.06124384250776733,0.0,0.0,0.0,0.0,0.0,11.346008160440652,0.000745864289375268,0.023129312507665544,0.0014908390649781226,0.0074705032560389096,1.36561873681419,0.0007483782450403971,2.2220331000604654,0.017167937761999864,0.07462644928539658,0.3978642203818203,0.007473372589444132,0.0,0.0,0.0,0.0029867873987654125,0.0,0.0,0.0,0.007472311319907001,0.0,0.0,0.0,8.747785429933739,0.0,0.0,0.0022369101413192093,0.013423557525664499,0.01417631586864759,0.010449670998728578,0.5449702321164969,0.032115677291299986,0.14576561844719407,0.020945966063793182,0.5169432095952811,1.0962947115258537,0.0,0.0,0.004469011527388229,0.0014957518604144832,0.014931017695804976,0.0,0.0,0.0,0.0,0.0,0.0,1.9710258283891882,0.5072121293703978,0.0,0.0,0.009684844462799295,0.0037354032575225567,0.009709705635605845,0.09039143833685453
ba-phalaborwa,0.07441668236114408,0.04629818725170641,0.0,0.11679945074412043,0.0,0.015099660086158062,0.005834329981752711,0.050573437328606106,0.37839314141521924,0.007297620804112239,0.0,0.02772249925091603,0.4162089330577477,0.0,0.0,0.0,0.0,0.0,0.8592787285198411,0.005357018486708849,0.0038937319930893756,0.0019473239301970495,0.6497637029635045,0.018986555996008632,0.0,0.024815663325867054,0.0,0.07004672045005708,0.0,0.021898154235904688,0.0,0.0,0.0,0.003882861147401784,0.0,0.0,0.33332777555635823,0.10668695205357447,0.0,0.04921210881101398,0.0,4.441223556742491,0.0,0.0,0.0,0.08176728741124457,0.009239600583099465,0.006815071729731502,1.6328307787328837,0.18137883976229358,0.16066503323499237,0.5737257697403487,0.3656567737899826,0.0545466001496518,0.0,0.0009741573156373644,0.0014599372953422495,0.0,0.049173056238931825,0.0,0.0004873129083761238,0.010233210691409981,0.0,0.000974605417356531,0.013133256653074861,0.5972050437527485,0.0,0.0,0.010231036543229197,0.0038977080547943186,0.003410449549934395,0.019967978820143072,0.039453292745069576
beaufort west,0.14959693282472392,0.0007695939401143033,0.00015354289364350466,0.5112817107134763,0.0,0.004003492716469004,0.08648865710203119,0.037656746292621286,0.17603423772351154,0.0038399938854184338,0.0,0.007831987854505238,0.008010213643726366,0.0,0.00015443939246027535,0.0,0.0,0.0,0.23669715425546844,0.14710026648470506,0.11387196376727161,0.019894090894254143,0.0588347344093358,0.09781035593933513,0.10971155596154286,0.010608759157869461,0.0013819419249104744,0.017827267680617865,0.13066586274132141,0.005693685048299787,0.0,0.009093786201582105,17.761870915788123,3.7114248202948805,0.0007709275783658424,0.0,0.0,0.011239096538052606,0.0,0.0,0.0,13.81704336579534,0.0,0.0,0.004776073893331394,0.0013811592631638467,0.17951191902667663,0.010442193261011846,2.228194650003861,9.930754775164816,0.013090466263497235,0.004151180442373683,0.028479793382192146,0.001847042280243377,0.0009241168798822987,0.0,0.0015402381254577757,0.0,0.10275708383289872,0.0,0.0,0.0,0.0,0.0,0.5528589692311769,0.0,0.0,0.0,0.0012318384647141145,0.0007697835686922908,0.0,0.002771028682667941,0.021986501917852553
bela-bela,0.3458880662982984,0.006359866445852801,0.002119118013543605,0.0052960111157698275,0.0,0.019069216149167536,0.03292085740950284,2.6333970832613143,5.43225123365714,0.06464849021699932,0.0,0.06144693215218887,0.03813140053153723,0.0,0.0,0.0,0.0,0.0,12.284273253368186,0.0,0.04550420310797097,0.005300622009079538,4.636556578889854,0.20363974385194195,0.0,0.6738378830075535,0.041391384985941256,0.37464459850708604,0.9392121438661284,0.044517973198106346,0.002119071751073527,0.0,0.0,0.0,0.0,0.0,0.008494991715204868,0.026506882264119364,0.0,0.002118732700648083,0.0,4.441676249296652,0.0,0.0,0.004241487427309132,0.0053053100605210905,0.007413098367728225,0.0699687883128859,10.596102581226237,0.02544364706151418,0.09643484649040579,0.5857844922767582,0.08584417229002494,0.19701837524030147,0.002118917598502563,0.02648328307150645,0.008477313871511355,0.0010590278404487821,0.0720786086744823,0.0,0.0021188868070277107,0.8763739793529294,0.014838815711720913,0.2225065602275775,0.005300454795668306,0.0,0.0,0.0,0.061408119987767226,0.026461123701553554,0.029650704687261675,0.014837135926081449,0.04559054303889555
bergrivier,0.11960072717120607,0.09512044886018722,0.0,0.21762673893586923,0.015949982368567442,0.028180231675981875,0.04110782937844692,4.0624146961722385,15.414353716414077,0.18429571666069391,0.0,0.15987417066805393,0.7026447957301042,0.0,0.4448346506962157,0.0,0.0,0.0,1.3960877851333746,0.19913179306061504,0.058508315157025224,0.11394623321082202,0.009129002319108742,0.09661135292597385,4.678282053498455,0.13231021626409134,0.03191962126761602,0.3895797982510851,0.4155485931788962,0.1057594118221559,0.0,23.713560543662833,0.0,0.012155891575166748,0.0068424183045894425,0.0,0.0266757526403835,0.1423388112821712,0.015981642631326613,0.004572997658019061,0.24054344340400644,2.36591455685744,0.0,0.0,0.031963948142735156,0.002284248468736389,0.3937936665882931,0.012935328516899297,0.40715635692585866,1.9421763733623738,0.05935595402590608,0.00151650439420723,0.179678486078528,0.009134090154454128,0.000760675883840534,0.0,0.0015234925423915214,0.0007614605945554754,0.21837869094308388,0.0,0.0,0.0,0.0159795244955556,0.0,0.0,0.009138190378812593,0.02590676184427257,0.0007603997771430583,0.0007621714363191239,0.029689278620691067,0.007620463107049556,0.03732155879292883,0.11722346668490069
big five hlabisa,0.3280697940366816,0.0010108682254387747,0.0,0.1036821171243205,0.18432195058401937,0.01114857820863886,0.0,0.012149410073914586,0.08406574638932722,1.2663481951394278,3.6586483628692976,3.2062904745530503,0.07497375122147718,1.7108762294171638,0.0,0.48044294299439394,0.04054125560904912,0.0,13.751430939469888,0.056662157394784654,0.09942614844319696,0.11145227384908275,1.235726704152286,0.9872144946650215,0.0,1.8671433179494383,0.2245636522564961,0.5812276976950297,2.200150560053992,0.006075674395104799,0.0,0.0,0.0,0.0010145911073907133,0.0,0.0,0.0,0.019248401989575087,0.0,0.0,0.2470062079091401,11.588333441301401,0.0,0.0,0.029383645234404995,0.2508147500480318,0.0365172234615004,0.004052630651006164,7.391185721131658,0.8865940395610427,0.7874012634616985,0.33441927082311723,2.1905982394295074,1.384154660073785,0.0010142510604230549,0.0,0.006080837219203866,0.0040532547705106345,0.11047736876881328,0.0,0.0,0.0010142680478794448,0.011156659757078824,0.002028502122407556,0.0,2.0360567636664477,0.21988768484885282,0.0,0.0010134713284128433,0.003041330843396247,0.0,0.1022593431937295,0.39296550313721923
bitou,0.05010450977314822,0.0,0.0,0.030057448529922214,0.023388988827305512,0.10359008147733906,0.7580744634945858,0.3306844084087371,4.924907100701722,5.602397489165032,4.146251777761918,15.999037745904905,0.06010376198036694,0.0,0.09014179782956594,0.0,0.0,0.0,24.21926835655882,0.0,0.0,0.003337277717550972,0.0,0.01334651461289349,0.2737632531772347,0.854664635679186,0.0033400998107347233,0.10348757991907767,0.38392291722649274,0.08353301564360786,0.0,8.583560117169743,0.0,0.0,0.0,0.0,0.0,0.03676137096943863,0.0,0.0,0.09351602154047321,2.361040104261937,0.0,0.0033391109378057946,0.0,0.01001676823843995,0.026729813182139007,0.06679373575338123,0.42712098142012284,0.006680844675645406,0.050126767913456376,0.0033377708605607354,0.6917298715043748,0.48787164072143185,0.0,0.0,0.030074056446743457,0.010024614667385535,0.023372227327926886,0.0,0.0,0.0,0.2072344443778778,0.42779227640654244,0.0,0.0,1.0284380982402166,0.0,0.0,0.02338564887593164,0.12029659174954277,0.0066794931018430165,0.12691931404376158
blouberg,0.06078619965156997,0.0,0.0003851058674819022,0.009612410955769571,0.0,0.005390045373521914,0.011513485285511329,1.7689937697828682,2.367690513477805,0.0073002540501111044,0.01961298289590323,0.13959670738441754,0.04266876686274452,0.0034540605774210846,0.0,0.0,0.0,0.0,1.4349684382660715,0.0026915023037843346,0.09678366017787593,0.003844506663620288,4.47243627254306,0.560942215350485,0.0,0.07652949067107358,0.0,0.10654592971216835,0.0,0.019198200494461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034612771185931154,0.0,0.0,0.0,11.441502415699226,0.0,0.0,0.0007685202632585746,0.04602821631488746,0.11316977804153383,0.03880461548114689,5.8791200862373065,0.055689236477681585,0.19042771143099604,1.1672844617906135,0.8651458476428155,0.008078991224023294,0.0030738747460288397,0.024637223057041264,0.027329064997579006,0.0,0.0971543564545622,0.0,0.0003840009529253692,0.009977563802832436,0.004222447046884727,0.0,0.03192135963862183,3.4358145222621017,0.0,0.0,0.0,0.0007674240097773733,0.0,0.044261011189292036,0.09037642679973575
