Station,Crime_Category,sum
Afsondering,Murder,112.0
Afsondering,Attempted murder,40.0
Afsondering,Robbery with aggravating circumstances,108.0
Afsondering,Common robbery,10.0
Afsondering,Rape,148.0
Afsondering,Sexual assault,13.0
Afsondering,Kidnapping,6.0
Afsondering,Assault with the intent to inflict grievous bodily harm,479.0
Afsondering,Common assault,123.0
Afsondering,Burglary at non-residential premises,79.0
Afsondering,Burglary at residential premises,226.0
Afsondering,Stock-theft,747.0
Afsondering,Shoplifting,1.0
Afsondering,Theft of motor vehicle and motorcycle,2.0
Afsondering,Theft out of or from motor vehicle,18.0
Afsondering,All theft not mentioned elsewhere,115.0
Afsondering,Arson,18.0
Afsondering,Malicious damage to property,147.0
Afsondering,Commercial crime,11.0
Afsondering,Drug-related crime,69.0
Afsondering,Driving under the influence of alcohol or drugs,3.0
Afsondering,Illegal possession of firearms and ammunition,59.0
Afsondering,Carjacking,4.0
Afsondering,Truck hijacking,1.0
Afsondering,Robbery of cash in transit,0.0
Afsondering,Bank robbery,0.0
Afsondering,Robbery at residential premises,57.0
Afsondering,Robbery at non-residential premises,27.0
Afsondering,Attempted sexual offences,7.0
Afsondering,Contact sexual offences,11.0
Afsondering,Sexual offences detected as a result of police action,2.0
Afsondering,Sexual offences,179.0
Afsondering,TRIO crime,88.0
Afsondering,Contact crime (Crimes against the person),1051.0
Afsondering,Contact-related crime,165.0
Afsondering,Property-related crime,1072.0
Afsondering,Other serious crime,127.0
Afsondering,Crime detected as a result of police action,133.0
Afsondering,17 Community reported serious crime,2415.0
Avondale,Murder,162.0
Avondale,Attempted murder,34.0
Avondale,Robbery with aggravating circumstances,83.0
Avondale,Common robbery,11.0
Avondale,Rape,264.0
Avondale,Sexual assault,11.0
Avondale,Kidnapping,5.0
Avondale,Assault with the intent to inflict grievous bodily harm,646.0
Avondale,Common assault,51.0
Avondale,Burglary at non-residential premises,17.0
Avondale,Burglary at residential premises,273.0
Avondale,Stock-theft,465.0
Avondale,Shoplifting,0.0
Avondale,Theft of motor vehicle and motorcycle,5.0
Avondale,Theft out of or from motor vehicle,5.0
Avondale,All theft not mentioned elsewhere,151.0
Avondale,Arson,23.0
Avondale,Malicious damage to property,116.0
Avondale,Commercial crime,12.0
Avondale,Drug-related crime,56.0
Avondale,Driving under the influence of alcohol or drugs,1.0
Avondale,Illegal possession of firearms and ammunition,61.0
Avondale,Carjacking,1.0
Avondale,Truck hijacking,0.0
Avondale,Robbery of cash in transit,0.0
Avondale,Bank robbery,0.0
Avondale,Robbery at residential premises,8.0
Avondale,Robbery at non-residential premises,16.0
Avondale,Attempted sexual offences,36.0
Avondale,Contact sexual offences,4.0
Avondale,Sexual offences detected as a result of police action,0.0
Avondale,Sexual offences,315.0
Avondale,TRIO crime,25.0
Avondale,Contact crime (Crimes against the person),1302.0
Avondale,Contact-related crime,139.0
Avondale,Property-related crime,765.0
Avondale,Other serious crime,163.0
Avondale,Crime detected as a result of police action,118.0
Avondale,17 Community reported serious crime,2369.0
Cedarville,Murder,39.0
Cedarville,Attempted murder,24.0
Cedarville,Robbery with aggravating circumstances,72.0
Cedarville,Common robbery,21.0
Cedarville,Rape,136.0
Cedarville,Sexual assault,23.0
Cedarville,Kidnapping,2.0
Cedarville,Assault with the intent to inflict grievous bodily harm,417.0
Cedarville,Common assault,219.0
Cedarville,Burglary at non-residential premises,131.0
Cedarville,Burglary at residential premises,334.0
Cedarville,Stock-theft,281.0
Cedarville,Shoplifting,2.0
Cedarville,Theft of motor vehicle and motorcycle,5.0
Cedarville,Theft out of or from motor vehicle,95.0
Cedarville,All theft not mentioned elsewhere,261.0
Cedarville,Arson,6.0
Cedarville,Malicious damage to property,122.0
Cedarville,Commercial crime,40.0
Cedarville,Drug-related crime,193.0
Cedarville,Driving under the influence of alcohol or drugs,21.0
Cedarville,Illegal possession of firearms and ammunition,20.0
Cedarville,Carjacking,3.0
Cedarville,Truck hijacking,0.0
Cedarville,Robbery of cash in transit,2.0
Cedarville,Bank robbery,0.0
Cedarville,Robbery at residential premises,8.0
Cedarville,Robbery at non-residential premises,25.0
Cedarville,Attempted sexual offences,6.0
Cedarville,Contact sexual offences,3.0
Cedarville,Sexual offences detected as a result of police action,1.0
Cedarville,Sexual offences,168.0
Cedarville,TRIO crime,36.0
Cedarville,Contact crime (Crimes against the person),960.0
Cedarville,Contact-related crime,128.0
Cedarville,Property-related crime,846.0
Cedarville,Other serious crime,303.0
Cedarville,Crime detected as a result of police action,235.0
Cedarville,17 Community reported serious crime,2237.0
Kwandengane,Murder,82.0
Kwandengane,Attempted murder,53.0
Kwandengane,Robbery with aggravating circumstances,73.0
Kwandengane,Common robbery,4.0
Kwandengane,Rape,132.0
Kwandengane,Sexual assault,22.0
Kwandengane,Kidnapping,13.0
Kwandengane,Assault with the intent to inflict grievous bodily harm,194.0
Kwandengane,Common assault,36.0
