Municipality,Barren Land,Built-up,Cultivated,Forested Land,Forested land,Grassland,Mines & Quarries,Shrubland,Waterbodies,Wetlands
abaqulusi,1.152401234495348,3.8939381847177947,16.08097058673717,1.2386900380415395,23.896639711292636,16.89112300906246,0.0636886201346561,0.0008146519489266333,0.3129289890986076,0.9533304383429484
alfred duma,1.494761356876911,8.329485089841427,15.031174953504511,0.07983827585986711,10.44603083347087,9.257108945620946,0.054899781796884366,0.0,0.4819234081851833,1.51224265233748
amahlathi,0.0813578590768512,1.9248273388948773,9.534894707938601,1.756561027337294,29.408827004387852,8.747785429933739,0.007472311319907001,0.0029867873987654125,0.4555666237693795,0.47249066966721687
ba-phalaborwa,0.3166686415693117,1.3318547368172629,2.1437281317516512,0.0,2.5339446990374843,4.454356813395567,0.48922683642094666,0.003882861147401784,0.20248215702409506,0.07004672045005708
beaufort west,10.882520635156945,0.18924625160524092,0.6065857324415985,0.0,2.4870059792602652,14.369902335026518,0.011239096538052606,21.483160449862954,0.15667730281497697,0.14849313042193926
bela-bela,0.08365695965298321,2.432672096142031,13.697426787603865,0.0,23.076440045276495,4.446976704092321,0.039239678431045845,0.0,0.36391384824552503,1.3138567423732144
bergrivier,2.827186869472744,0.8144058610296925,25.73669235825596,0.0,2.186256119749153,2.36591455685744,0.1895692042119004,23.73255885354259,0.48951281604687125,0.8051283914299813
big five hlabisa,1.3672036365688645,5.3489024766409266,8.865206542244099,3.6586483628692976,25.839195645793883,11.588333441301401,0.019248401989575087,0.0010145911073907133,0.8562852654536972,2.781378257749022
bitou,0.08685709521501214,2.395967815118326,7.312363313412578,4.146251777761918,47.34305640704248,2.361040104261937,0.03676137096943863,8.583560117169743,0.15697641048986719,0.4874104971455704
blouberg,0.27794658795664523,2.5577086510130904,12.743887603476692,0.01961298289590323,7.499790101419054,11.473423775337848,0.0034612771185931154,0.0,0.10796804209719792,0.10654592971216835
blue crane route,2.3715741988269015,0.3712349747875352,2.7417162839515785,0.17681186540368954,13.572745202768404,5.560924228851576,0.00847717014986207,9.299624144668815,0.16600449017862837,0.2527032720562777
breede valley,6.97639496575801,1.514979418008702,12.287824354672857,0.003469347289919833,2.6310962869271397,8.043425726325697,0.06069455649306054,13.300228166876092,1.3763675406521607,0.815675372846457
buffalo city,0.3212699701768323,12.264879057969585,17.262928515193636,0.8070335308982003,33.589263752985005,4.681647711218312,0.11063656773289186,0.023097802717650415,0.7857955403177224,0.12517368080659202
bushbuckridge,1.5626359942005568,4.752904933680787,1.49195758861267,0.08666401446108264,15.897790800098635,2.949803957526303,0.010971791179130002,0.00035363802364784007,0.1734966713618553,0.8921867365581052
cape agulhas,0.48414854990741935,0.6912169591559166,15.432963822784728,0.011398060634717374,6.793000606673089,1.181744228069476,0.04550112365055387,10.493723485371804,1.0201791353065432,1.339934242255209
cederberg,4.245287215932004,0.438304713983195,20.707098396422882,0.0,1.9110159532510775,6.490230039912542,0.021476529504578505,16.21183460612395,0.344183782428429,0.44673925083459815
chief albert luthuli,0.5653924475404783,2.853594223891546,15.669491401365148,0.16475388979903982,21.672186843283693,27.530268119862782,0.5593360960989386,0.0,0.7374051842701802,4.079820242168209
city of cape town,1.1752715237881775,29.151105814809966,10.407849794371797,0.13720824580748137,7.01633363372558,1.6455814412527692,0.5197535148292854,8.257833194856184,0.8154170669937925,1.9136795450980246
city of johannesburg,0.8703643634810176,54.447516992456286,5.977570916578376,0.0,8.449783037285304,10.694868075354547,1.5543784535659881,0.0588204958626525,0.4004530485050648,3.5879438393216296
city of mbombela,0.32103189764953477,5.364925484339843,8.693508650821164,1.2635508368311503,31.577228414446633,4.5038679001485225,0.0634422170307381,0.0015107788796374008,0.2603514140922922,1.4007611874769355
city of tshwane,0.5013966092417617,21.069615616686715,16.324195582206247,0.0,17.820038400111386,18.3025492835716,0.5577613247983557,0.03197720766823071,0.5973256758671261,1.7443438081936817
collins chabane,0.2958908435766374,5.808162070421049,6.498658043598287,0.015344128011844973,14.022587416078293,3.0132372619660743,0.010993196714597394,0.0,0.09226798816629452,0.02924317769640069
dannhauser,1.0910944371684619,7.083189961162275,19.5251717105178,0.36885658011827194,4.716245448476855,8.863702985349207,0.4057886807731812,0.0,0.5604971816952798,4.294825253712871
dawid kruiper,2.2677979412847677,0.16267773056084084,0.1305484303029023,0.0,0.8933051325788057,7.885933468602202,0.008387518875675974,7.831162491163377,0.1550306235363578,0.0
dihlabeng,2.204796740372761,1.293326973927003,26.30219009763721,0.0,3.7881793678061064,14.019470463667565,0.03671557837494061,0.0,0.6059955307080404,1.9495291333327294
dikgatlong,0.2876139696860731,0.4312018596625731,1.5352201987651626,0.0,14.196832525357138,13.181290922772275,0.423085573495235,0.21104623984932608,0.404393439339906,0.0513913785881487
dipaleseng,0.13503279414760236,0.989841476146252,28.13945561284482,0.0,5.315216647385816,18.929159323651447,0.08041053970285776,0.0,0.6275921631065174,6.760977071513012
ditsobotla,0.1284971901340572,1.4880323144184315,19.748533805671638,0.0,7.241308636904185,9.034109251282201,0.2927339824436267,0.031926543603151995,0.23585252871395043,0.4877755946441712
dr beyers naude,8.540013132840357,0.36613198090934945,1.1870490849853208,0.0,4.862515483659324,17.936612415923832,0.017753413215857182,25.81042067459991,0.16505318837916264,0.5517916145814105
dr js moroka,0.11969601983757604,15.691718903936783,14.160528503998322,0.0,15.568064605858991,3.9405291345765066,0.05856532750681415,0.0,1.6372867814368244,1.1053533490944976
dr nkosazana dlamini zuma,0.34744666864266577,5.748350215586027,15.875762563549236,1.5641923444378485,18.63257107499257,14.383672075892267,0.0038401188395404645,0.0,0.6807185155991454,2.8309278381576797
dr pixley ka isaka seme,0.3102435258633461,1.3223242604890448,26.823155486230526,0.2525110655374056,5.261506872599962,5.83165689631734,0.11391530987490513,0.0,0.4095976979595544,3.3879120525467896
drakenstein,1.4765221239501602,4.974250976847794,22.011793901738212,0.015160823441464955,7.6133361462167715,4.544253969431456,0.036812063094352955,9.865823865491125,1.682162758285559,1.5903196107394362
