Municipality,Artificial Waterbodies,Commercial,Consolidated,Extraction Sites,Fallow Lands & Old Fields,Herbaceous Wetlands,Industrial,Karoo & Fynbos Shubland,Natural Grassland,Natural Waterbodies,Natural Wooded Land,Permanent Crops,Planted Forest,Residential,Shrubs,Smallholdings,Surface Infrastructure,Temporary Crops,Transport,Unconsolidated,Urban Vegetation,Village,Waste & Resource Dumps,Woody Wetlands
abaqulusi,0.2589699679630607,0.05145574707331482,0.08569257909297875,0.05552387023555382,7.944098939461043,0.9533304383429484,0.01226059252719851,0.0,16.89112300906246,0.05395902113554687,14.238520627830727,0.12497602576391567,10.896809121503447,2.8973734515703344,0.0008146519489266333,0.04655140476169394,0.0008160563277975637,8.011895621512211,0.07192576437536814,1.0667086554023693,0.02041289474015561,0.7939583296697293,0.007348693571304709,0.0
alfred duma,0.36177576389020705,0.09408861442092094,0.0660771074296051,0.0511804213824492,6.649091044888618,1.51224265233748,0.11645694013323732,0.0,9.257108945620946,0.12014764429497624,10.274974847614077,0.0353239567166147,0.2508942617166589,6.781169395170087,0.0,0.026073544726178583,0.0,8.34675995189928,0.05214491487900585,1.4286842494473058,0.023291944678432812,1.2362597358335639,0.003719360414435166,0.0
amahlathi,0.4399061561023958,0.0029872878969213756,0.014922180158022857,0.007472311319907001,3.6145294952027127,0.47249066966721687,0.007473372589444132,0.0,8.747785429933739,0.01566046766698371,26.624766603212947,0.06124384250776733,4.5406214285122,1.7859142690199248,0.0029867873987654125,0.0,0.0,5.859121370228122,0.014931017695804976,0.06643567891882833,0.01342024772032185,0.10010114397246038,0.0,0.0
ba-phalaborwa,0.1207148696128505,0.015099660086158062,0.014596619069808315,0.10668695205357447,0.6955132462155772,0.07004672045005708,0.021898154235904688,0.0,4.454356813395567,0.08176728741124457,2.519832006503641,0.4162089330577477,0.01411269253384374,1.1570282715259552,0.003882861147401784,0.011695129017142637,0.04921210881101398,1.0320059524783265,0.049173056238931825,0.3020720224995034,0.01753919414795791,0.059421271565212645,0.33332777555635823,0.0
beaufort west,0.15052006965848172,0.004003492716469004,0.32661218551138166,0.011239096538052606,0.29824143828724786,0.14849313042193926,0.005693685048299787,17.77173562956807,14.369902335026518,0.00615723315649524,2.4727237921138348,0.008164653036186641,0.01428218714643028,0.05003283737364651,3.7114248202948805,0.0,0.0,0.30017964111816403,0.10275708383289872,10.555908449645564,0.002001622033406405,0.02475753060052049,0.0,0.0
bela-bela,0.3543670507576948,0.019069216149167536,0.007413098367728225,0.026506882264119364,5.56072621274437,1.3138567423732144,0.044517973198106346,0.0,4.446976704092321,0.009546797487830222,22.94182276674661,0.03813140053153723,0.13461727852988523,1.0032204286794595,0.0,1.1158382420992556,0.002118732700648083,8.098569174327956,0.0720786086744823,0.07624386128525498,0.11751994837658246,0.060427678964977,0.010614063466278394,0.0
bergrivier,0.2147211760313933,0.028180231675981875,0.5929254596489082,0.15832045391349783,5.062198479486066,0.8051283914299813,0.1057594118221559,23.72040296196742,2.36591455685744,0.27479164001547796,1.9631183127272873,1.1474794464263198,0.22313780702186578,0.25273066367388297,0.012155891575166748,0.0159795244955556,0.004572997658019061,19.527014432343574,0.21837869094308388,2.234261409823836,0.038832312941202804,0.15454502547782953,0.0266757526403835,0.0
big five hlabisa,0.32908066226212035,0.01114857820863886,0.09317938085628506,0.019248401989575087,4.4261004428723245,2.781378257749022,0.006075674395104799,0.0,11.588333441301401,0.5272046031915769,28.007555498023894,2.306834179242084,1.4902885106392867,4.7077217768382456,0.0010145911073907133,0.014199429927365826,0.0,2.1322719201296896,0.11047736876881328,1.2740242557125794,0.00405480217180909,0.4952248463309487,0.0,0.0
bitou,0.05010450977314822,0.10359008147733906,0.026729813182139007,0.03676137096943863,1.1484517809976,0.4874104971455704,0.08353301564360786,8.583560117169743,2.361040104261937,0.10687190071671895,44.79167886164577,0.15024555980993287,6.697629323158631,1.2731647221139528,0.0,0.6350267207844202,0.0,6.013665972605045,0.023372227327926886,0.06012728203287313,0.1436822406254744,0.1335988071456046,0.0,0.0
blouberg,0.06117130551905187,0.005390045373521914,0.11586128034531817,0.0034612771185931154,5.11375248522824,0.10654592971216835,0.019198200494461,0.0,11.473423775337848,0.046796736578146036,7.473298214783698,0.046122827440165604,0.04610486953125799,2.285977174889098,0.0,0.014584011802642531,0.0,7.584012290808286,0.0971543564545622,0.16208530761132708,0.0007674240097773733,0.13463743798902778,0.0,0.0
