WardID,Exist,DNExist,People,Potholes,Trash,Cars,Buses,Motorbikes,Trucks,NuPhotos,PotholeRatio,PeopleRatio,TrashRatio,CarRatio,BusRatio,TruckRatio,MotorbikeRatio,NuRoads,RoadRatio,artificial dams (including canals),artificial flooded mine pits,artificial sewage ponds,bare riverbed material,coastal sand & dunes,commercial,commercial annual crops non-pivot irrigated,commercial annual crops pivot irrigated,commercial annual crops rain-fed / dryland,contiguous & dense plantation forest,contiguous (indigenous) forest,contiguous low forest & thicket,cultivated commercial permanent orchards,cultivated commercial permanent pineapples,cultivated commercial permanent vines,cultivated commercial sugarcane non-pivot,cultivated commercial sugarcane pivot irrigated,cultivated emerging farmer sugarcane non-pivot,dense forest & woodland,dry pans,eroded lands,fallow land & old fields (bare),fallow land & old fields (bush),fallow land & old fields (grass),fallow land & old fields (low shrub),fallow land & old fields (trees),fallow land & old fields (wetlands),herbaceous wetlands (currently mapped),herbaceous wetlands (previously mapped),industrial,land-fills,low shrubland (fynbos),low shrubland (nama karoo),low shrubland (other),low shrubland (succulent karoo),mangrove wetlands,mine: tailings and resource dumps,"mines: extraction pits, quarries",mines: salt mines,mines: surface infrastructure,natural estuaries & lagoons,natural grassland,natural lakes,natural ocean & coastal,natural pans (flooded @ observation times),natural rivers,natural rock surfaces,open & sparse plantation forest,open woodland,other bare,residential formal (bare),residential formal (bush),residential formal (low veg / grass),residential formal (tree),residential informal (bare),residential informal (bush),residential informal (low veg / grass),residential informal (tree),roads & rails (major linear),sand dunes (terrestrial),smallholdings (bare),smallholdings (bush),smallholdings (low veg / grass),smallholdings (tree),sparsely wooded grassland,subsistence / small-scale annual crops,temporary unplanted (clear-felled) plantation forest,urban recreational fields (bare),urban recreational fields (bush),urban recreational fields (grass),urban recreational fields (tree),village dense (bare & low veg / grass combo),village scattered (bare & low veg/ grass combo),Barren Land,Built-up,Cultivated,Forested Land,Forested land,Grassland,Mines & Quarries,Shrubland,Waterbodies,Wetlands,Artificial Waterbodies,Commercial,Consolidated,Extraction Sites,Fallow Lands & Old Fields,Herbaceous Wetlands,Industrial,Karoo & Fynbos Shubland,Natural Grassland,Natural Waterbodies,Natural Wooded Land,Permanent Crops,Planted Forest,Residential,Shrubs,Smallholdings,Surface Infrastructure,Temporary Crops,Transport,Unconsolidated,Urban Vegetation,Village,Waste & Resource Dumps,Woody Wetlands,Province,ANC,DA,MK,EFF,Remaining_Parties,Non Vote (Registered),Non Vote Percentage (Registered),Vote Percentage (Registered),ANC%,DA%,EFF%,MK%,Remaining%,PotholeLag,PeopleLag,TrashLag,CarLag,BusLag,TruckLag,MotorbikeLag,RoadLag,PotholeLagDifference,PeopleLagDifference,TrashLagDifference,CarLagDifference,BusLagDifference,TrucklagDifference,MotorbikeLagDifference,RoadLagDifffference,PeopleCarRatio
19100001,861,92,6,9,4,133,1,5,4,191,0.04712041884816754,0.031413612565445025,0.020942408376963352,0.6963350785340314,0.005235602094240838,0.020942408376963352,0.02617801047120419,953,0.9034627492130115,0.1683323379790848,0.0,0.0,0.0,0.0,4.377806328073209,0.0,1.0099621650648092,1.5148777912346107,1.0100117591955664,0.0,0.0,0.5049580740681437,0.0,3.8712827418758105,0.0,0.0,0.0,3.030322187533459,0.0,0.0,0.0,0.0,0.0,6.564087128609978,1.010011769575576,0.6733329193739265,0.0,0.16834296111442953,1.178418478631866,0.0,8.922212795528452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16837839201675223,0.0,0.0,0.0,0.0,0.0,0.1683500447781197,0.5049722354218603,0.0,3.8724443832386624,0.0,2.6935901077777804,0.5051245503986487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5050147210469405,0.0,0.0,0.3367780548505652,0.16837839201675223,0.0,0.3367213480966951,0.0,13.46926164308418,15.148512589802854,0.0,5.218670947975946,0.16837839201675223,0.0,8.922212795528452,0.1683323379790848,0.16834296111442953,0.1683323379790848,4.377806328073209,0.0,0.0,8.24743181755948,0.16834296111442953,1.178418478631866,8.922212795528452,0.16837839201675223,0.0,3.5352944229553196,4.376240815943954,1.6833765250206265,7.0711590414150916,0.0,0.0,0.0,2.52483995629942,0.0,0.0,0.5051564468673174,0.3367213480966951,0.0,0.0,Western Cape,461,10711,33,235,1218,3800,23.062450688838986,76.937549311161,3.6419655553799966,84.61842313161637,1.8565334176015167,0.26070469268446833,9.622373202717649,0.04712925861128356,0.041183820255720476,0.03573102633080622,0.8004672479635797,0.00706437220560478,0.015275504637206764,0.021506261326510775,0.9075576492523828,-8.839763116018362e-06,-0.009770207690275451,-0.01478861795384287,-0.10413216942954828,-0.001828770111363942,0.0056669037397565885,0.004671749144693413,-0.004094900039371296,0.045112781954887216
19100002,670,20,10,12,5,180,1,4,0,174,0.06896551724137931,0.05747126436781609,0.028735632183908046,1.0344827586206897,0.005747126436781609,0.0,0.022988505747126436,690,0.9710144927536232,0.0,0.0,0.0,0.0,0.0,8.659740747528529,0.0,0.0,0.0,0.33304347594439204,0.0,0.33307153885492485,0.0,0.0,0.0,0.0,0.0,0.0,0.6661290443865173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6644951368985508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33309961173661,0.0,0.0,0.3330645221936464,0.0,0.0,0.0,0.0,0.0,4.330028271407516,0.0,0.9992426938049253,1.6653506869573875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.995126327372012,3.330645225662282,0.0,0.0,0.0,24.98013395273265,0.0,0.0,1.3322440591858342,0.33309961173661,0.0,2.6644951368985508,0.3330645221936464,0.0,0.0,8.659740747528529,0.0,0.0,0.0,0.0,0.0,2.6644951368985508,0.33309961173661,0.3330645221936464,0.9992005832414421,0.0,0.33304347594439204,6.994621652169828,0.0,0.0,0.0,0.0,0.0,0.0,9.325771553034294,0.0,0.0,0.0,Western Cape,633,11885,89,540,2225,5779,27.274872569378893,72.7251274306211,4.117876658860265,77.31589903721051,3.51288056206089,0.5789747593026281,14.474368982565705,0.29806490621975273,0.06030103625974515,0.025987681260123057,1.1214638479361356,0.015447755068538127,0.05663824693230219,0.04324513219605635,0.9647295404783836,-0.22909938897837342,-0.00282977189192906,0.0027479509237849885,-0.0869810893154459,-0.009700628631756518,-0.05663824693230219,-0.020256626448929914,0.006284952275239619,0.05555555555555555
19100003,567,77,11,7,2,114,2,3,0,156,0.04487179487179487,0.07051282051282051,0.01282051282051282,0.7307692307692307,0.01282051282051282,0.0,0.019230769230769232,644,0.8804347826086957,0.0,0.0,0.0,0.0,0.0,10.642356767512485,0.0,0.0,0.0,0.608194153609349,0.0,0.30401062542496154,0.0,0.0,0.0,0.0,0.0,0.0,0.6081172858220649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3041130976105162,0.9121214956507366,0.0,3.0408939031166726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30409387298445645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.736505398145913,0.0,2.1286058662764313,0.912230372056505,0.0,0.0,0.0,0.0,0.30413232736449547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2163114257815715,0.0,0.0,0.0,0.0,18.85226365278814,0.0,0.0,1.5203220648563756,0.30409387298445645,0.0,3.0408939031166726,0.0,0.3041130976105162,0.0,10.642356767512485,0.0,0.0,0.0,0.3041130976105162,0.9121214956507366,3.0408939031166726,0.30409387298445645,0.0,0.9121279112470264,0.0,0.608194153609349,5.77734163647885,0.0,0.0,0.0,0.0,0.30413232736449547,0.0,1.2163114257815715,0.0,0.0,0.0,Western Cape,307,11012,56,429,1540,3474,20.462979324969073,79.53702067503092,2.3006594724220624,82.52398081534771,3.214928057553957,0.4196642685851319,11.540767386091128,0.13207948200427663,0.014817385938524432,0.040796591261321874,0.7612871616651168,0.0074319759228548615,0.019835076698048657,0.01630635224680502,0.9278589603582099,-0.08720768713248175,0.05569543457429608,-0.027976078440809054,-0.03051793089588606,0.005388536897657959,-0.019835076698048657,0.0029244169839642113,-0.04742417774951424,0.09649122807017543
19100004,631,154,3,24,11,97,3,1,9,101,0.2376237623762376,0.0297029702970297,0.10891089108910891,0.9603960396039604,0.0297029702970297,0.0891089108910891,0.009900990099009901,785,0.8038216560509555,0.0,0.0,0.0,0.0,0.0,10.486844921945638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7865386123202119,0.2621574668869125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26216298264964727,1.0485967945512082,0.0,0.0,4.194563665375173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.030317012270846,0.0,7.864520067568444,2.359422744702545,0.0,0.0,0.26219608749665074,0.0,0.5243204495359494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5243480332352788,2.883908666051713,0.0,0.2621188702848425,0.2621574668869125,31.197996853091908,0.0,0.0,0.7865386123202119,0.0,0.0,4.194563665375173,0.0,1.3107597772008555,0.0,10.486844921945638,0.2621574668869125,0.0,0.0,1.3107597772008555,0.0,4.194563665375173,0.0,0.0,0.7865386123202119,0.0,0.0,16.516455912038484,0.0,0.0,0.0,0.0,0.5243204495359494,0.0,3.4082566992869916,0.2621188702848425,0.0,0.0,Western Cape,1981,5329,189,893,998,6415,40.475739794308794,59.52426020569121,21.096911608093716,56.75186368477103,9.510117145899894,2.0127795527156547,10.628328008519702,0.10149858022198448,0.03607287117925415,0.03007217368919497,0.8692607628777841,0.012407608152289003,0.03530177466347679,0.04242132965537221,0.9241395556232406,0.13612518215425312,-0.006369900882224451,0.07883871739991394,0.09113527672617627,0.0172953621447407,0.053807136227612316,-0.032520339556362306,-0.12031789957228511,0.030927835051546393
19100005,876,47,7,10,3,144,2,6,5,188,0.05319148936170213,0.03723404255319149,0.015957446808510637,0.7659574468085106,0.010638297872340425,0.026595744680851064,0.031914893617021274,923,0.9490790899241603,0.0,0.0,0.0,0.0,0.0,7.920755992175335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4061312384402438,0.0,0.0,0.0,0.0,0.609002504066927,3.04513628662697,0.20296956646414477,0.0,0.0,1.2182013011332433,6.091335687098708,0.0,3.654531570505429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608951330372808,0.0,0.8120872876917202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40609270439778977,6.497919530091032,0.0,1.8273107621209608,0.0,0.0,0.0,0.2030463520110852,0.0,0.2030548913183447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4062721808673595,0.203136090433798,0.0,0.0,0.40609270439778977,23.352831486116624,3.8571083571580416,0.0,0.4061312384402438,0.8120872876917202,0.608951330372808,3.654531570505429,0.0,1.2182013011332433,0.0,7.920755992175335,0.0,0.0,3.8571083571580416,1.2182013011332433,6.091335687098708,3.654531570505429,0.8120872876917202,0.0,0.4061312384402438,0.0,0.0,8.528276644223078,0.0,0.0,0.608951330372808,0.0,0.2030548913183447,0.40609270439778977,0.6094082713011575,0.0,0.0,0.0,Western Cape,574,15245,106,592,1642,6051,24.935097045370256,75.06490295462974,3.160967013602071,83.95286084035465,3.2600914147254807,0.5837325843934137,9.042348146924391,0.14205277421284887,0.022055695970993258,0.05338544325636752,0.8603245141268053,0.015013194164093547,0.0484682848738626,0.025494346991418167,0.8834407933158371,-0.08886128485114675,0.01517834658219823,-0.03742799644785688,-0.0943670673182947,-0.004374896291753121,-0.021872540193011537,0.006420546625603107,0.06563829660832321,0.04861111111111111
19100006,375,24,8,47,6,49,1,1,3,80,0.5875,0.1,0.075,0.6125,0.0125,0.0375,0.0125,399,0.9398496240601504,1.0003722831424535,0.0,0.0,0.0,0.0,1.5004637085446428,4.502275424028859,0.0,4.002278898076778,0.0,0.0,0.0,0.0,0.0,5.503216429638364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000446025869794,0.0,0.5002598431515805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5010083323971593,0.0,1.5004426631008667,0.0,2.0006498473109713,0.0,1.0003407089103729,0.0,0.0,0.0,3.0014748977510655,0.0,8.504206867101084,3.0015696316769573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5006426448095045,0.0,26.51124532747242,14.007770751744003,0.0,0.0,0.0,0.0,0.5002598431515805,1.0003722831424535,0.0,1.0003722831424535,1.5004637085446428,0.0,0.0,0.0,0.0,1.000446025869794,0.5002598431515805,0.0,0.0,0.0,5.503216429638364,0.0,8.00244155171937,0.0,14.507251396529107,0.0,8.504554322105637,0.0,0.0,0.0,1.5006426448095045,0.0,0.0,Western Cape,5384,905,181,1138,707,10021,54.26436345914334,45.73563654085666,64.7504509921828,10.883944678292243,13.686109440769693,2.1767889356584487,8.502705953096813,0.32392858526005963,0.07434620399416496,0.0635617004247189,0.7571315337645069,0.043035771916915176,0.06023830732091451,0.061841137058982996,0.961986106965525,0.2635714147399404,0.025653796005835047,0.0114382995752811,-0.14463153376450688,-0.030535771916915175,-0.02273830732091451,-0.04934113705898299,-0.02213648290537462,0.16326530612244897
19100007,644,31,8,43,7,81,3,10,5,151,0.2847682119205298,0.052980132450331126,0.046357615894039736,0.5364238410596026,0.019867549668874173,0.033112582781456956,0.06622516556291391,675,0.9540740740740741,0.0,0.0,0.0,0.0,0.0,7.927932359090336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6894655507259222,0.0,0.0,0.0,0.0,0.0,0.6895526719285072,0.0,0.0,0.0,0.34469649199938135,1.0342491445882294,0.0,4.8262153399235,0.0,0.0,0.0,0.0,0.0,0.6895526725703587,0.0,0.0,0.0,0.0,0.0,0.0,0.34473277503996796,0.0,0.0,0.0,0.0,0.3446892373222669,5.86009446448731,0.3447618130772716,7.583997776205267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34474003358501126,0.0,1.723707430969218,1.3790399944110971,0.0,0.0,0.0,0.0,0.0,0.34469649199857877,0.0,0.0,1.3788658080875895,0.3446892373222669,27.92208531649991,0.6895526719285072,0.0,0.6894655507259222,0.0,0.6895526725703587,4.8262153399235,0.34473277503996796,0.34469649199938135,0.0,7.927932359090336,0.0,0.6895526725703587,0.6895526719285072,0.34469649199938135,1.0342491445882294,4.8262153399235,0.0,0.34473277503996796,0.6894655507259222,0.0,0.0,13.78885405376985,0.0,3.4474874589653264,0.0,0.0,0.0,0.3446892373222669,0.34469649199857877,1.3788658080875895,0.0,0.0,Western Cape,588,8527,33,431,3145,5902,31.612212104981253,68.38778789501875,4.621188305564288,67.01508959446714,3.387299591323483,0.2593524049041182,24.717070103740962,0.26432238542091663,0.042680991885398256,0.05419443311120178,0.8638339226619521,0.01391325536062378,0.03854832494673376,0.02481130150958792,0.9463576343742375,0.020445826499613184,0.01029914056493287,-0.007836817217162041,-0.3274100816023495,0.005954294308250393,-0.0054357421652768065,0.04141386405332599,0.007716439699836597,0.09876543209876543
19100008,1008,89,1,14,5,213,0,2,8,215,0.06511627906976744,0.004651162790697674,0.023255813953488372,0.9906976744186047,0.0,0.037209302325581395,0.009302325581395349,1097,0.918869644484959,0.0,0.0,0.0,0.0,0.0,3.204650711798714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2136274744973116,0.0,0.21364097440793417,1.2819088784001689,0.0,0.2136724881883054,0.0,0.21369951559424408,0.8547169797489764,0.0,0.2136229753270386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4272954803033985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6409094416985994,9.187259685044229,0.0,1.2818593807269547,0.2136274744973116,0.0,0.0,0.0,0.0,0.6409769400472687,0.0,0.2136814957237475,0.0,0.0,0.6409994558904224,0.0,0.0,0.0,0.0,0.0,1.0683489338275185,0.8546944563186193,0.0,0.6409364399211612,0.6409094416985994,18.801751953544922,1.9228498154937201,0.0,0.0,0.4272954803033985,0.0,0.2136229753270386,0.0,0.21369951559424408,0.0,3.204650711798714,0.0,0.0,1.9228498154937201,0.21369951559424408,0.8547169797489764,0.2136229753270386,0.4272954803033985,0.0,0.0,0.0,0.0,10.682746540268495,0.0,0.85468095161417,0.0,0.0,0.6409769400472687,0.6409094416985994,1.9230433901461377,0.6409364399211612,0.0,0.0,Western Cape,549,14820,76,506,1947,5704,24.108199492814876,75.89180050718512,3.0673818303721085,82.80254777070064,2.827131523075204,0.42462845010615713,10.878310425745893,0.14321333559744157,0.044868021358087574,0.03454085771966567,0.6594347276466482,0.012747872681647517,0.029556046112337503,0.04144827456085735,0.9400947018719711,-0.07809705652767412,-0.0402168585673899,-0.011285043766177297,0.33126294677195645,-0.012747872681647517,0.007653256213243892,-0.032145948979462,-0.02122505738701208,0.004694835680751174
19100009,304,28,0,24,4,58,1,2,1,81,0.2962962962962963,0.0,0.04938271604938271,0.7160493827160493,0.012345679012345678,0.012345679012345678,0.024691358024691357,332,0.9156626506024096,0.0,0.0,0.0,0.0,0.0,5.353946351002934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4874289853356473,0.5949540307571086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29748328299896026,0.0,18.146028569111458,0.8925377154764818,8.031848060366224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7848119139659393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1899958878761414,5.948856471343982,0.0,10.41077320733401,0.29747073438286575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5949665682244853,0.0,0.8924875020793356,1.4874227001709124,0.0,0.29743937260232217,1.78494991863325,43.429391476252306,0.0,0.0,1.4874289853356473,1.7848119139659393,0.8925377154764818,8.031848060366224,0.0,0.29748328299896026,0.0,5.353946351002934,0.5949540307571086,0.0,0.0,0.29748328299896026,18.146028569111458,8.031848060366224,1.7848119139659393,0.0,1.4874289853356473,0.0,0.0,16.657100413060856,0.0,0.0,0.0,0.0,0.0,1.1899958878761414,2.9748767704747334,0.29743937260232217,0.8925377154764818,0.0,Western Cape,963,5150,355,2484,2520,8273,41.618875138343896,58.3811248616561,8.394351464435147,44.891910739191076,21.652719665271967,3.0944909344490936,21.96652719665272,0.2699820788530466,0.032646356033452804,0.06459080047789725,1.1403972520908006,0.014755077658303466,0.09674432497013141,0.0766278375149343,0.9633868691346557,0.026314217443249688,-0.032646356033452804,-0.01520808442851454,-0.4243478693747512,-0.0024093986459577874,-0.08439864595778573,-0.05193647949024294,-0.047724218532246065,0.017241379310344827
19100010,494,51,7,39,7,236,6,7,17,155,0.25161290322580643,0.04516129032258064,0.04516129032258064,1.5225806451612902,0.03870967741935484,0.10967741935483871,0.04516129032258064,545,0.9064220183486239,0.2490272850234852,0.0,0.0,0.0,0.0,5.230150424782389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7472131135956299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.724224856892089,0.0,7.969844373389584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4981175608398337,0.0,0.0,0.2490535298265506,0.0,0.0,0.0,0.0,0.9962193775954595,3.486901750267478,0.0,4.981023459401718,0.4981595744399368,0.0,0.0,0.0,0.0,0.996266647619987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2453832008800785,0.49805457004610065,0.0,0.24904303050590298,0.9962193775954595,23.90920751483568,0.0,0.0,0.7472131135956299,0.4981175608398337,0.0,7.969844373389584,0.4980808148500358,0.0,0.2490272850234852,5.230150424782389,0.0,0.0,0.0,0.0,6.724224856892089,7.969844373389584,0.4981175608398337,0.2490535298265506,0.7472131135956299,0.0,0.0,8.966084784109132,0.0,0.0,0.0,0.0,0.996266647619987,0.9962193775954595,1.7434377709261792,0.24904303050590298,0.0,0.0,Western Cape,761,7611,179,901,2242,5866,33.29738320940001,66.70261679059999,6.507610740550709,65.0846587993843,7.704805883358988,1.530699504019155,19.17222507268685,0.2570674691990272,0.038959068320625165,0.02933977944410022,0.8310354662541606,0.006030935149709096,0.01401621643645846,0.03899559815496237,0.9613124724428785,-0.0054545659732207485,0.006202222001955478,0.01582151087848042,0.6915451789071296,0.03267874226964575,0.09566120291838025,0.006165692167618274,-0.05489045409425464,0.029661016949152543
